timestamp,service,consistency,latency_ms,success,error_message
2025-07-31T22:20:32.284821,avaliacoes,eventual,5.041599273681641,True,
2025-07-31T22:20:32.340189,avaliacoes,eventual,5.204916000366211,True,
2025-07-31T22:20:32.398697,avaliacoes,eventual,8.361101150512695,True,
2025-07-31T22:20:32.452157,avaliacoes,eventual,3.3147335052490234,True,
2025-07-31T22:20:32.505163,avaliacoes,eventual,2.856731414794922,True,
2025-07-31T22:20:32.560926,avaliacoes,eventual,5.601644515991211,True,
2025-07-31T22:20:32.616047,avaliacoes,eventual,4.955530166625977,True,
2025-07-31T22:20:32.670208,avaliacoes,eventual,3.9854049682617188,True,
2025-07-31T22:20:32.723898,avaliacoes,eventual,3.4933090209960938,True,
2025-07-31T22:20:32.780516,avaliacoes,eventual,6.305694580078125,True,
2025-07-31T22:20:32.838542,avaliacoes,eventual,7.6961517333984375,True,
2025-07-31T22:20:32.892972,avaliacoes,eventual,4.301548004150391,True,
2025-07-31T22:20:32.952069,avaliacoes,eventual,8.746623992919922,True,
2025-07-31T22:20:33.006845,avaliacoes,eventual,4.546403884887695,True,
2025-07-31T22:20:33.063661,avaliacoes,eventual,6.583213806152344,True,
2025-07-31T22:20:33.119356,avaliacoes,eventual,5.477666854858398,True,
2025-07-31T22:20:33.177319,avaliacoes,eventual,7.574558258056641,True,
2025-07-31T22:20:33.232317,avaliacoes,eventual,4.828214645385742,True,
2025-07-31T22:20:33.291375,avaliacoes,eventual,8.717775344848633,True,
2025-07-31T22:20:33.348570,avaliacoes,eventual,6.838321685791016,True,
2025-07-31T22:20:33.403214,avaliacoes,eventual,4.420280456542969,True,
2025-07-31T22:20:33.457675,avaliacoes,eventual,4.227399826049805,True,
2025-07-31T22:20:33.514973,avaliacoes,eventual,6.97016716003418,True,
2025-07-31T22:20:33.574812,avaliacoes,eventual,9.574413299560547,True,
2025-07-31T22:20:33.629463,avaliacoes,eventual,4.305601119995117,True,
2025-07-31T22:20:33.687469,avaliacoes,eventual,7.5817108154296875,True,
2025-07-31T22:20:33.741912,avaliacoes,eventual,4.093170166015625,True,
2025-07-31T22:20:33.798922,avaliacoes,eventual,6.558895111083984,True,
2025-07-31T22:20:33.854510,avaliacoes,eventual,5.347728729248047,True,
2025-07-31T22:20:33.910855,avaliacoes,eventual,6.20722770690918,True,
2025-07-31T22:20:33.967884,avaliacoes,eventual,6.680727005004883,True,
2025-07-31T22:20:34.025228,avaliacoes,eventual,6.960868835449219,True,
2025-07-31T22:20:34.079528,avaliacoes,eventual,4.031896591186523,True,
2025-07-31T22:20:34.136524,avaliacoes,eventual,6.716728210449219,True,
2025-07-31T22:20:34.196501,avaliacoes,eventual,9.634017944335938,True,
2025-07-31T22:20:34.251800,avaliacoes,eventual,4.92405891418457,True,
2025-07-31T22:20:34.310876,avaliacoes,eventual,8.74185562133789,True,
2025-07-31T22:20:34.371056,avaliacoes,eventual,9.830951690673828,True,
2025-07-31T22:20:34.428313,avaliacoes,eventual,6.8569183349609375,True,
2025-07-31T22:20:34.482487,avaliacoes,eventual,3.925800323486328,True,
2025-07-31T22:20:34.538384,avaliacoes,eventual,5.473852157592773,True,
2025-07-31T22:20:34.593610,avaliacoes,eventual,4.993200302124023,True,
2025-07-31T22:20:34.649673,avaliacoes,eventual,5.734920501708984,True,
2025-07-31T22:20:34.706121,avaliacoes,eventual,6.27589225769043,True,
2025-07-31T22:20:34.762844,avaliacoes,eventual,6.5364837646484375,True,
2025-07-31T22:20:34.817372,avaliacoes,eventual,4.37617301940918,True,
2025-07-31T22:20:34.871145,avaliacoes,eventual,3.5505294799804688,True,
2025-07-31T22:20:34.927777,avaliacoes,eventual,6.166934967041016,True,
2025-07-31T22:20:34.987830,avaliacoes,eventual,9.711742401123047,True,
2025-07-31T22:20:35.045928,avaliacoes,eventual,7.8334808349609375,True,
2025-07-31T22:20:35.104731,avaliacoes,eventual,8.555173873901367,True,
2025-07-31T22:20:35.164472,avaliacoes,eventual,9.319543838500977,True,
2025-07-31T22:20:35.224285,avaliacoes,eventual,9.50002670288086,True,
2025-07-31T22:20:35.282378,avaliacoes,eventual,7.874488830566406,True,
2025-07-31T22:20:35.340033,avaliacoes,eventual,7.285594940185547,True,
2025-07-31T22:20:35.397174,avaliacoes,eventual,6.8759918212890625,True,
2025-07-31T22:20:35.456826,avaliacoes,eventual,9.310007095336914,True,
2025-07-31T22:20:35.513534,avaliacoes,eventual,6.478071212768555,True,
2025-07-31T22:20:35.569218,avaliacoes,eventual,5.433559417724609,True,
2025-07-31T22:20:35.628795,avaliacoes,eventual,9.23466682434082,True,
2025-07-31T22:20:35.686056,avaliacoes,eventual,6.843090057373047,True,
2025-07-31T22:20:35.745472,avaliacoes,eventual,9.09423828125,True,
2025-07-31T22:20:35.803914,avaliacoes,eventual,8.13746452331543,True,
2025-07-31T22:20:35.863112,avaliacoes,eventual,8.845329284667969,True,
2025-07-31T22:20:35.917952,avaliacoes,eventual,4.581451416015625,True,
2025-07-31T22:20:35.978216,avaliacoes,eventual,9.854793548583984,True,
2025-07-31T22:20:36.037630,avaliacoes,eventual,9.064197540283203,True,
